"Source:","/home/matthieu/miam_workspace/src/MiAM_robotics/eurobot2023/Electronics/main_pcb/main_pcb.kicad_sch"
"Date:","Sat 07 Jan 2023 01:36:13 PM CET"
"Tool:","Eeschema 6.0.10-1.fc36"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","55"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Arrow Part Number","Arrow Price/Stock","Description","Field5","Height","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","RS","RS Part Number","RS part number"
"","","C1","C","Device:C","Capacitor_THT:C_Disc_D8.0mm_W5.0mm_P10.00mm","~","","","","","","","","","","    736-8833","",""
"","","C2","C","Device:C","Capacitor_THT:C_Disc_D8.0mm_W5.0mm_P10.00mm","~","","","","","","","","","","    736-8833","",""
"","","C3","Conn_03x08","MiAM:Conn_03x08","MiAM:Pin_Header_Straight_3x08_Pitch2.54mm","","","","","","","","","","","","",""
"","","C4","Conn_03x04","MiAM:Conn_03x04","MiAM:Pin_Header_Straight_3x04_Pitch2.54mm","","","","","","","","","","","","",""
"","","D2","LED","Device:LED","LED_THT:LED_D3.0mm","~","","","","","","","","","","","",""
"","","D3","LED","Device:LED","LED_THT:LED_D3.0mm","~","","","","","","","","","","","",""
"","","HC49","Crystal","Device:Crystal","Crystal:Crystal_HC49-4H_Vertical","~","","","","","","","","","","    693-8819","",""
"","","I2C1","Conn_01x05_Male","Connector:Conn_01x05_Male","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~","","","","","","","","","","","",""
"","","I2C2","Conn_01x05_Male","Connector:Conn_01x05_Male","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","~","","","","","","","","","","","",""
"","","IC1","CD74HCT125M96","MiAM:CD74HCT125M96","SOIC127P600X175-14N","http://www.ti.com/lit/gpn/cd74hct125","","","","","","","CD74HCT125M96","","","",""," 662-7235"
"","","IC2","SN74LVC126ADR","MiAM:SN74LVC126ADR","SOIC127P600X175-14N","http://www.ti.com/lit/gpn/sn74lvc126a","SN74LVC126ADR","https://www.arrow.com/en/products/sn74lvc126adr/texas-instruments","Texas Instruments SN74LVC126ADR Quad Buffer & Line Driver, 3-State, 1.65-3.6V, 14-Pin SOIC","","1.75","Texas Instruments","SN74LVC126ADR","595-SN74LVC126ADR","https://www.mouser.co.uk/ProductDetail/Texas-Instruments/SN74LVC126ADR?qs=rshUhwi3fbY38Lw6k%252BScBw%3D%3D","","    662-8601",""
"","","J1","PI40HAT","MiAM:PI40HAT","MiAM:MODULE_RASPBERRY_PI_B+","","","","","","","","","","","","",""
"","","J2","Conn_01x02_Male","Connector:Conn_01x02_Male","MiAM:XT30UM","~","","","","","","","","","","","",""
"","","J3","Conn_01x02_Male","Connector:Conn_01x02_Male","MiAM:XT30UM","~","","","","","","","","","","","",""
"","","J4","Conn_01x02_Male","Connector:Conn_01x02_Male","MiAM:XT30UM","~","","","","","","","","","","","",""
"","","J5","Conn_01x02_Male","Connector:Conn_01x02_Male","MiAM:XT30UM","~","","","","","","","","","","","",""
"","","J6","Conn_01x02_Male","Connector:Conn_01x02_Male","MiAM:XT30UM","~","","","","","","","","","","","",""
"","","J7","Conn_01x02_Male","Connector:Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","","","","","","",""
"","","J8","Conn_01x02_Male","Connector:Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","","","","","","",""
"","","J9","22-03-5035","MiAM:22-03-5035","SHDR3W60P0X250_1X3_990X490X590P","http://www.molex.com/pdm_docs/sd/022035035_sd.pdf","","","Header 2.5mm SPOX,WTB,vert, shrouded, 3w Molex SPOX Series, Series Number 5267, 2.5mm Pitch 3 Way 1 Row Straight PCB Header, Solder Termination, 3A","","5.9","Molex","22-03-5035","","","","    687-8048",""
"","","J10","Conn_01x02_Male","Connector:Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","","","","","","",""
"","","J11","MagneticEncoder","MiAM:MagneticEncoder","MiAM:52746-0671","http://www.molex.com/pdm_docs/sd/022035035_sd.pdf","","","Connector to Magnetic encoder","","","","","","","","702-5431",""
"","","J12","Conn_01x07_Male","Connector:Conn_01x07_Male","Connector_PinHeader_2.54mm:PinHeader_1x07_P2.54mm_Vertical","~","","","","","","","","","","","",""
"","","J13","MagneticEncoder","MiAM:MagneticEncoder","MiAM:52746-0671","http://www.molex.com/pdm_docs/sd/022035035_sd.pdf","","","Connector to Magnetic encoder","","","","","","","","702-5431",""
"","","J14","Conn_01x03_Male","Connector:Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","","","","","","",""
"","","J15","Conn_01x02_Male","Connector:Conn_01x02_Male","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","","","","","","","","","",""
"","","J16","Conn_02x02_Odd_Even","Connector_Generic:Conn_02x02_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical","~","","","","","","","","","","","",""
"","","J17","Conn_02x02_Odd_Even","Connector_Generic:Conn_02x02_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical","~","","","","","","","","","","","",""
"","","J18","Conn_02x02_Odd_Even","Connector_Generic:Conn_02x02_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical","~","","","","","","","","","","","",""
"","","J20","Conn_01x03_Male","Connector:Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","","","","","","",""
"","","J21","Conn_01x03_Male","Connector:Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","","","","","","",""
"","","J24","Conn_01x03_Male","Connector:Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","","","","","","","","","","",""
"","","P1","R-78Bxx-2.0","MiAM:R-78Bxx-2.0","MiAM:CONV_R-78Bxx-2.0","","","","","RS  139-2959","","","","","","139-2959","",""
